,X_CODE,Y_CODE,distance
135,139.91181,35.924278,3.9700420095044198
136,139.911808,35.924275,3.5934748454645344
137,139.911805,35.924272,3.1855976514868565
138,139.911805,35.924268,2.7723121705722558
139,139.911803,35.924268,2.7069047622114066
140,139.911802,35.924268,2.6781668717881177
141,139.911802,35.924267,2.5726555021176183
142,139.911802,35.924265,2.3631298991880785
143,139.911802,35.924265,2.3631298991880785
144,139.9118,35.924263,2.094769963621567
145,139.9118,35.924263,2.094769963621567
146,139.911798,35.924263,2.0475791637913985
147,139.911795,35.924262,1.8948955548358755
148,139.911795,35.92426,1.674122907557694
149,139.911793,35.924258,1.4424487626796114
150,139.911792,35.924257,1.3345462727555226
151,139.911792,35.924252,0.7819289364714672
152,139.91179,35.924248,0.4290799422420695
153,139.91179,35.924247,0.3500737854598742
154,139.911793,35.924242,0.3328727908876198
