1718784907.5918725,"[0.343, 0.1078, 10.1136, 14.896, 0.0, 0.0, 6.0, 21.0, -60.0]"
1718784908.101807,"[0.3724, 0.049, 9.8686, 15.4432, 0.0, 0.0, -19.0, 19.0, -84.0]"
1718784908.6118171,"[0.3822, 0.0588, 10.1332, 15.2608, 0.0, 0.0, -41.0, 5.0, -68.0]"
1718784909.1217475,"[0.441, 0.0196, 9.9274, 0.0608, 0.0, 0.0, -13.0, 21.0, -64.0]"
1718784909.6317153,"[0.3822, 0.0392, 9.8588, 15.3216, 0.0, 0.0, 31.0, 58.0, -36.0]"
1718784910.1416152,"[0.4018, 0.0686, 9.947, 15.4432, 0.0, 0.0, 30.0, 39.0, -64.0]"
1718784910.6515384,"[0.3724, -0.0098, 9.9862, 15.3824, 0.0, 0.0, -4.0, 22.0, -84.0]"
1718784911.1614761,"[0.3822, 0.0392, 10.2018, 0.3648, 0.0, 0.0, -42.0, -12.0, -72.0]"
1718784911.6714485,"[0.4214, 0.049, 9.9568, 0.1216, 0.0, 0.0, -14.0, 0.0, -60.0]"
1718784912.1813664,"[0.392, -0.0294, 9.6824, 15.2608, 0.0, 0.0, 0.0, -1.0, -80.0]"
1718784912.6913083,"[0.343, 0.0784, 9.8784, 15.504, 0.0, 0.0, -32.0, -17.0, -96.0]"
1718784913.2012682,"[0.4214, 0.0784, 10.0744, 0.1824, 0.0, 0.0, -26.0, -13.0, -56.0]"
1718784913.7111952,"[0.3038, 0.0784, 9.31, 0.1824, 0.0, 0.0, -26.0, -8.0, -48.0]"
1718784914.2214162,"[0.3136, -0.049, 9.1042, 15.4432, 0.0, 0.0, -40.0, -15.0, -52.0]"
1718784914.7312815,"[0.3528, 0.0392, 9.163, 0.0, 0.0, 0.0, -18.0, -3.0, -56.0]"
1718784915.2408845,"[0.3136, -0.0588, 9.408, 0.0608, 0.0, 0.0, -15.0, 6.0, -48.0]"
1718784915.7506003,"[0.3136, 0.0588, 9.457, 15.4432, 0.0, 0.0, -21.0, 14.0, -44.0]"
1718784916.2603543,"[0.3724, -0.049, 9.9372, 0.0, 0.0, 0.0, -21.0, 14.0, -44.0]"
1718784916.7704005,"[0.3332, 0.0686, 10.1038, 0.0, 0.0, 0.0, -21.0, 15.0, -48.0]"
1718784917.280194,"[0.3724, -0.1176, 10.0646, 15.504, 0.0, 0.0, -23.0, 13.0, -48.0]"
1718784917.7901957,"[0.3626, -0.049, 9.9078, 0.1824, 0.0, 0.0, -22.0, 15.0, -48.0]"
1718784918.2999544,"[0.3234, -0.0098, 10.045, 15.504, 0.0, 0.0, -19.0, 16.0, -48.0]"
1718784918.8099236,"[0.5096, 0.1078, 9.8098, 15.2608, 0.0, 0.0, -18.0, 13.0, -48.0]"
1718784919.3198352,"[0.3332, 0.1568, 9.7804, 15.504, 0.0, 0.0, -15.0, 14.0, -52.0]"
1718784919.829342,"[0.3136, -0.0588, 10.0254, 15.4432, 0.0, 0.0, -15.0, 14.0, -52.0]"
1718784920.3390818,"[0.441, -0.0294, 9.8882, 0.0, 0.0, 0.0, -14.0, 12.0, -48.0]"
1718784920.84909,"[0.3724, -0.0784, 9.9078, 0.4256, 0.0, 0.0, -15.0, 11.0, -52.0]"
1718784921.3591926,"[0.4214, -0.0588, 9.8294, 15.1392, 0.0, 0.0, -13.0, 11.0, -48.0]"
1718784921.8688924,"[0.3528, 0.0392, 10.0744, 15.3824, 0.0, 0.0, -16.0, 13.0, -48.0]"
1718784922.378612,"[0.3724, 0.049, 9.8392, 0.0, 0.0, 0.0, -18.0, 11.0, -48.0]"
1718784922.8882027,"[0.4214, -0.049, 10.143, 0.1824, 0.0, 0.0, -14.0, 10.0, -52.0]"
1718784923.3978665,"[0.3234, 0.0784, 9.996, 15.504, 0.0, 0.0, -14.0, 12.0, -48.0]"
1718784923.9074523,"[0.3822, -0.0196, 10.0548, 0.0, 0.0, 0.0, -15.0, 14.0, -48.0]"
1718784924.4174392,"[0.3332, 0.0196, 10.1234, 15.3824, 0.0, 0.0, -16.0, 15.0, -48.0]"
